,43,44,splitless_fname45,split_fname46,47,49,51,cone adjust_fname52,42,00,02,06,08,35,ODP 0.5/0.5_fname00,ODP 0.5/off_fname02,ODP small nozzle 0.5/0.5_fname06,ODP small nozzle 0.5/off_fname08,ODP 0.5/0.5_fname35,TYGON 0.5/0.5_fname46
0.0,,,,,,,,,,,,,,,,,,,,
0.0016,,,,,,,,,,,,,,,,,,,,
0.0032,,,,,,,,,,,,,,,,,,,,
0.0048,,,,,,,,,,,,,,,,,,,,
0.0064,,,,,,,,,,,,,,,,,,,,
0.008,,,,,,,,,,,,,,,,,,,,
0.0096,,,,,,,,,,,,,,,,,,,,
0.0112,,,,,,,,,,,,,,,,,,,,
0.0128,,,,,,,,,,,,,,,,,,,,
0.0144,,,,,,,,,,,,,,,,,,,,
0.016,,,,,,,,,,,,,,,,,,,,
0.0176,,,,,,,,,,,,,,,,,,,,
0.0192,,,,,,,,,,,,,,,,,,,,
0.0208,,,,,,,,,,,,,,,,,,,,
0.0224,,,,,,,,,,,,,,,,,,,,
0.024,,,,,,,,,,,,,,,,,,,,
0.0256,,,,,,,,,,,,,,,,,,,,
0.0272,,,,,,,,,,,,,,,,,,,,
0.0288,,,,,,,,,,,,,,,,,,,,
0.0304,,,,,,,,,,,,,,,,,,,,
0.032,,,,,,,,,,,,,,,,,,,,
0.0336,,,,,,,,,,,,,,,,,,,,
0.0352,,,,,,,,,,,,,,,,,,,,
0.0368,,,,,,,,,,,,,,,,,,,,
0.0384,,,,,,,,,,,,,,,,,,,,
0.04,,,,,,,,,,,,,,,,,,,,
0.0416,,,,,,,,,,,,,,,,,,,,
0.0432,,,,,,,,,,,,,,,,,,,,
0.0448,,,,,,,,,,,,,,,,,,,,
0.0464,,,,,,,,,,,,,,,,,,,,
0.048,,,,,,,,,,,,,,,,,,,,
0.0496,,,,,,,,,,,,,,,,,,,,
0.0512,,,,,,,,,,,,,,,,,,,,
0.0528,,,,,,,,,,,,,,,,,,,,
0.0544,,,,,,,,,,,,,,,,,,,,
0.056,,,,,,,,,,,,,,,,,,,,
0.0576,,,,,,,,,,,,,,,,,,,,
0.0592,,,,,,,,,,,,,,,,,,,,
0.0608,,,,,,,,,,,,,,,,,,,,
0.0624,,,,,,,,,,,,,,,,,,,,
0.064,,,,,,,,,,,,,,,,,,,,
0.0656,,,,,,,,,,,,,,,,,,,,
0.0672,,,,,,,,,,,,,,,,,,,,
0.0688,,,,,,,,,,,,,,,,,,,,
0.0704,,,,,,,,,,,,,,,,,,,,
0.072,,,,,,,,,,,,,,,,,,,,
0.0736,,,,,,,,,,,,,,,,,,,,
0.0752,,,,,,,,,,,,,,,,,,,,
0.0768,,,,,,,,,,,,,,,,,,,,
0.0784,,,,,,,,,,,,,,,,,,,,
0.08,,,,,,,,,,,,,,,,,,,,
0.0816,,,,,,,,,,,,,,,,,,,,
0.0832,,,,,,,,,,,,,,,,,,,,
0.0848,,,,,,,,,,,,,,,,,,,,
0.0864,,,,,,,,,,,,,,,,,,,,
0.088,,,,,,,,,,,,,,,,,,,,
0.0896,,,,,,,,,,,,,,,,,,,,
0.0912,,,,,,,,,,,,,,,,,,,,
0.0928,,,,,,,,,,,,,,,,,,,,
0.0944,,,,,,,,,,,,,,,,,,,,
0.096,,,,,,,,,,,,,,,,,,,,
0.0976,,,,,,,,,,,,,,,,,,,,
0.0992,,,,,,,,,,,,,,,,,,,,
0.1008,,,,,,,,,,,,,,,,,,,,
0.1024,,,,,,,,,,,,,,,,,,,,
0.104,,,,,,,,,,,,,,,,,,,,
0.1056,,,,,,,,,,,,,,,,,,,,
0.1072,,,,,,,,,,,,,,,,,,,,
0.1088,,,,,,,,,,,,,,,,,,,,
0.1104,,,,,,,,,,,,,,,,,,,,
0.112,,,,,,,,,,,,,,,,,,,,
0.1136,,,,,,,,,,,,,,,,,,,,
0.1152,,,,,,,,,,,,,,,,,,,,
0.1168,,,,,,,,,,,,,,,,,,,,
0.1184,,,,,,,,,,,,,,,,,,,,
0.12,,,,,,,,,,,,,,,,,,,,
0.1216,,,,,,,,,,,,,,,,,,,,
0.1232,,,,,,,,,,,,,,,,,,,,
0.1248,,,,,,,,,,,,,,,,,,,,
0.1264,,,,,,,,,,,,,,,,,,,,
0.128,,,,,,,,,,,,,,,,,,,,
0.1296,,,,,,,,,,,,,,,,,,,,
0.1312,,,,,,,,,,,,,,,,,,,,
0.1328,,,,,,,,,,,,,,,,,,,,
0.1344,,,,,,,,,,,,,,,,,,,,
0.136,,,,,,,,,,,,,,,,,,,,
0.1376,,,,,,,,,,,,,,,,,,,,
0.1392,,,,,,,,,,,,,,,,,,,,
0.1408,,,,,,,,,,,,,,,,,,,,
0.1424,,,,,,,,,,,,,,,,,,,,
0.144,,,,,,,,,,,,,,,,,,,,
0.1456,,,,,,,,,,,,,,,,,,,,
0.1472,,,,,,,,,,,,,,,,,,,,
0.1488,,,,,,,,,,,,,,,,,,,,
0.1504,,,,,,,,,,,,,,,,,,,,
0.152,,,,,,,,,,,,,,,,,,,,
0.1536,,,,,,,,,,,,,,,,,,,,
0.1552,,,,,,,,,,,,,,,,,,,,
0.1568,,,,,,,,,,,,,,,,,,,,
0.1584,5.76224899599e-05,0.000158666666667,,0.000468963855422,-0.000117638554217,0.00161916465863,,-0.00789381526104,1.1437751004e-05,0.000476787148594,2.66184738956e-05,-0.00011253815261,0.00023481124498,0.000117534136546,0.000476787148594,2.66184738956e-05,-0.00011253815261,0.00023481124498,0.000117534136546,0.000468963855422
0.16,4.96224899599e-05,0.000148666666667,,0.000468963855422,-3.76385542169e-05,0.00166316465863,,-0.00771781526104,5.43775100402e-06,0.000464787148594,2.66184738956e-05,-0.00012253815261,0.00024081124498,0.000105534136546,0.000464787148594,2.66184738956e-05,-0.00012253815261,0.00024081124498,0.000105534136546,0.000468963855422
0.1616,4.56224899599e-05,0.000146666666667,,0.000458963855422,-0.000109638554217,0.00161116465863,,-0.00753781526104,1.5437751004e-05,0.000400787148594,1.46184738956e-05,-0.00012053815261,0.00024281124498,9.95341365462e-05,0.000400787148594,1.46184738956e-05,-0.00012053815261,0.00024281124498,9.95341365462e-05,0.000458963855422
0.1632,4.56224899599e-05,0.000138666666667,,0.000458963855422,-0.000125638554217,0.00160316465863,,-0.00729981526104,3.3437751004e-05,0.000372787148594,2.66184738956e-05,-0.00011853815261,0.00024881124498,0.000117534136546,0.000372787148594,2.66184738956e-05,-0.00011853815261,0.00024881124498,0.000117534136546,0.000458963855422
0.1648,4.36224899599e-05,0.000144666666667,,0.000442963855422,-0.000125638554217,0.00167116465863,,-0.00702381526104,2.5437751004e-05,0.000306787148594,2.86184738956e-05,-0.00012453815261,0.00025881124498,0.000117534136546,0.000306787148594,2.86184738956e-05,-0.00012453815261,0.00025881124498,0.000117534136546,0.000442963855422
0.1664,3.56224899599e-05,0.000166666666667,,0.000436963855422,-0.000129638554217,0.00159116465863,,-0.00677181526104,2.1437751004e-05,0.000244787148594,3.06184738956e-05,-0.00011453815261,0.00025681124498,0.000121534136546,0.000244787148594,3.06184738956e-05,-0.00011453815261,0.00025681124498,0.000121534136546,0.000436963855422
0.168,1.16224899599e-05,0.000170666666667,,0.000424963855422,-8.16385542169e-05,0.00148716465863,,-0.00652181526104,1.9437751004e-05,0.000244787148594,2.86184738956e-05,-0.00012653815261,0.00024081124498,0.000113534136546,0.000244787148594,2.86184738956e-05,-0.00012653815261,0.00024081124498,0.000113534136546,0.000424963855422
0.1696,-1.83775100401e-05,0.000160666666667,,0.000422963855422,-3.36385542169e-05,0.00145516465863,,-0.00632181526104,2.7437751004e-05,0.000274787148594,1.86184738956e-05,-9.85381526104e-05,0.00024081124498,0.000111534136546,0.000274787148594,1.86184738956e-05,-9.85381526104e-05,0.00024081124498,0.000111534136546,0.000422963855422
0.1712,-8.37751004014e-06,0.000150666666667,,0.000424963855422,-8.16385542169e-05,0.00124316465863,,-0.00615181526104,1.7437751004e-05,0.000314787148594,1.66184738956e-05,-8.05381526104e-05,0.00024081124498,0.000107534136546,0.000314787148594,1.66184738956e-05,-8.05381526104e-05,0.00024081124498,0.000107534136546,0.000424963855422
0.1728,-2.03775100401e-05,0.000152666666667,,0.000402963855422,5.43614457831e-05,0.00106316465863,,-0.00600581526104,1.9437751004e-05,0.000326787148594,2.06184738956e-05,-7.85381526104e-05,0.00024681124498,9.75341365462e-05,0.000326787148594,2.06184738956e-05,-7.85381526104e-05,0.00024681124498,9.75341365462e-05,0.000402963855422
0.1744,-2.23775100401e-05,0.000136666666667,,0.000400963855422,7.83614457831e-05,0.00121916465863,,-0.00583781526104,2.5437751004e-05,0.000304787148594,2.46184738956e-05,-4.25381526104e-05,0.00026281124498,9.35341365462e-05,0.000304787148594,2.46184738956e-05,-4.25381526104e-05,0.00026281124498,9.35341365462e-05,0.000400963855422
0.176,-3.23775100401e-05,0.000126666666667,,0.000394963855422,4.63614457831e-05,0.00141116465863,,-0.00565581526104,1.3437751004e-05,0.000274787148594,4.06184738956e-05,-5.65381526104e-05,0.00024481124498,9.55341365462e-05,0.000274787148594,4.06184738956e-05,-5.65381526104e-05,0.00024481124498,9.55341365462e-05,0.000394963855422
0.1776,-3.63775100401e-05,0.000142666666667,,0.000402963855422,1.43614457831e-05,0.00147516465863,,-0.00547581526104,-4.56224899598e-06,0.000268787148594,3.66184738956e-05,-6.25381526104e-05,0.00024681124498,9.95341365462e-05,0.000268787148594,3.66184738956e-05,-6.25381526104e-05,0.00024681124498,9.95341365462e-05,0.000402963855422
0.1792,-5.23775100401e-05,0.000146666666667,,0.000388963855422,-4.56385542169e-05,0.00139916465863,,-0.00530381526104,-8.56224899598e-06,0.000244787148594,2.66184738956e-05,-8.05381526104e-05,0.00024881124498,9.75341365462e-05,0.000244787148594,2.66184738956e-05,-8.05381526104e-05,0.00024881124498,9.75341365462e-05,0.000388963855422
0.1808,-6.43775100401e-05,0.000152666666667,,0.000388963855422,-0.000209638554217,0.00135516465863,,-0.00511381526104,-6.56224899598e-06,0.000264787148594,2.66184738956e-05,-5.65381526104e-05,0.00025281124498,0.000115534136546,0.000264787148594,2.66184738956e-05,-5.65381526104e-05,0.00025281124498,0.000115534136546,0.000388963855422
0.1824,-7.63775100401e-05,0.000152666666667,,0.000386963855422,-0.000225638554217,0.00133116465863,,-0.00490381526104,-1.2562248996e-05,0.000276787148594,1.66184738956e-05,-4.25381526104e-05,0.00025481124498,0.000113534136546,0.000276787148594,1.66184738956e-05,-4.25381526104e-05,0.00025481124498,0.000113534136546,0.000386963855422
0.184,-9.03775100401e-05,0.000154666666667,,0.000384963855422,-0.000189638554217,0.00128316465863,,-0.00464581526104,-2.2562248996e-05,0.000308787148594,2.46184738956e-05,-3.85381526104e-05,0.00025681124498,0.000123534136546,0.000308787148594,2.46184738956e-05,-3.85381526104e-05,0.00025681124498,0.000123534136546,0.000384963855422
0.1856,-0.00010837751004,0.000140666666667,,0.000380963855422,-0.000181638554217,0.00118316465863,,-0.00448981526104,-2.2562248996e-05,0.000266787148594,2.06184738956e-05,-3.05381526104e-05,0.00024481124498,0.000133534136546,0.000266787148594,2.06184738956e-05,-3.05381526104e-05,0.00024481124498,0.000133534136546,0.000380963855422
0.1872,-0.00011037751004,0.000142666666667,,0.000388963855422,-0.000185638554217,0.00109916465863,,-0.00428581526104,-1.8562248996e-05,0.000286787148594,1.26184738956e-05,-3.25381526104e-05,0.00024881124498,0.000133534136546,0.000286787148594,1.26184738956e-05,-3.25381526104e-05,0.00024881124498,0.000133534136546,0.000388963855422
0.1888,-0.00011237751004,0.000142666666667,,0.000398963855422,-0.000221638554217,0.00109116465863,,-0.00413181526104,-6.56224899598e-06,0.000320787148594,-1.13815261044e-05,-3.45381526104e-05,0.00025281124498,0.000129534136546,0.000320787148594,-1.13815261044e-05,-3.45381526104e-05,0.00025281124498,0.000129534136546,0.000398963855422
