pt1_X,pt1_Y,pt1_Z,pt2_X,pt2_Y,pt2_Z,pt3_X,pt3_Y,pt3_Z,pt4_X,pt4_Y,pt4_Z,pt5_X,pt5_Y,pt5_Z
43.904502,29.673701,11.318314,49.228906,27.832760,10.619007,51.492186,26.178507,13.196890,51.367337,29.247460,11.203286,51.335560,34.625155,12.992036
43.969318,29.828766,11.252272,49.236903,27.744377,10.416206,51.485840,26.199052,13.233732,51.449199,29.069230,11.310958,51.324299,34.667815,12.859130
43.852455,29.171770,10.974620,49.222411,27.886225,10.548529,51.478465,26.190859,13.277500,51.285901,29.209200,11.149750,51.873216,34.512063,12.500444
43.681079,28.293131,10.771617,49.243052,27.822931,10.555902,51.430498,26.217580,13.366648,51.357975,29.065838,11.295063,53.135068,33.950285,13.144581
43.619598,27.393178,10.778375,49.198986,27.897806,10.635093,51.431780,26.196839,13.426443,51.294698,29.129595,11.570388,54.272476,33.083648,13.802277
43.965291,26.065797,10.276510,49.184277,27.874601,10.504950,51.381852,26.243483,13.525693,51.238142,29.099683,11.661979,55.406953,31.977266,13.975356
44.457943,24.726870,10.047338,48.943978,28.187206,10.522577,51.378241,26.243365,13.560842,51.406782,29.037773,11.891121,56.002639,30.164893,13.719077
45.320079,23.963007,9.533026,49.169546,28.143123,10.579981,51.351098,26.288592,13.658702,51.299117,28.907082,11.775459,56.401904,28.789232,13.478979
46.362668,22.982477,9.544372,49.263913,28.201833,10.806127,51.364773,26.261700,13.719936,51.442401,29.053291,11.805646,56.709685,27.592181,13.194171
47.448106,22.282390,9.703355,49.192617,28.057876,10.851970,51.334722,26.304041,13.815624,51.460693,29.048361,12.028506,56.506794,26.691748,13.139639
47.802000,22.832504,9.853287,49.065405,27.905849,10.829211,51.293032,26.290780,13.858876,51.343812,28.994651,12.060637,56.260151,27.570686,13.275994
47.281564,23.099049,9.675971,49.072583,28.023227,10.988005,51.270607,26.275230,13.895596,51.254598,28.859079,12.167818,56.678295,28.649637,12.811299
