pt1_X,pt1_Y,pt1_Z,pt2_X,pt2_Y,pt2_Z,pt3_X,pt3_Y,pt3_Z,pt4_X,pt4_Y,pt4_Z,pt5_X,pt5_Y,pt5_Z
51.555783,24.702201,10.485333,48.219315,26.183154,8.418279,45.699679,28.385231,8.396488,46.791484,25.830629,7.701094,46.411743,21.686187,8.676302
51.362229,25.135255,10.919851,48.367958,26.197666,8.588092,45.713063,28.409984,8.440669,46.658435,25.938439,7.731661,46.168175,21.534105,8.606244
51.657723,25.201774,11.054075,48.245834,26.073612,8.646848,45.717510,28.384097,8.481733,46.625906,25.935005,7.824405,46.070703,21.536166,8.585276
51.845755,25.350751,11.062104,48.282792,25.998073,8.563352,45.749315,28.310222,8.571674,46.628745,25.808548,7.701216,45.797165,21.434102,8.494029
52.117626,25.695177,10.819027,48.277480,25.820655,8.733384,45.735792,28.296842,8.611312,46.863427,25.999043,7.831031,45.297292,21.579464,8.058185
52.400190,25.930940,10.866537,48.315122,25.916462,8.659132,45.701064,28.209104,8.752682,46.893661,25.782853,8.092617,44.955048,21.592053,7.689664
52.251788,26.771781,10.646294,48.162368,26.041841,8.702662,45.705590,28.184170,8.790101,46.689736,25.739422,7.949971,44.493052,22.102743,6.919538
52.419388,27.219199,10.130833,48.177281,25.917961,8.737330,45.625609,28.154680,8.871099,46.471001,25.740098,8.123870,44.064460,22.558568,6.484589
52.459007,27.833813,9.652524,48.204515,26.160769,9.030722,45.636057,28.119652,8.930056,46.519204,25.754604,8.094375,43.777165,23.270370,5.712957
51.725638,28.935095,9.508930,48.230946,26.271447,9.097451,45.592414,28.041408,9.081859,46.381346,25.692139,8.108035,43.676195,24.115971,5.204804
51.030203,29.613011,8.694631,48.110602,26.420701,9.356470,45.626013,27.970394,9.221120,46.622639,25.647282,8.097942,43.789250,25.232340,4.948336
50.664780,29.832215,8.453658,48.280535,26.453755,9.340368,45.667078,27.887342,9.331556,46.554681,25.653572,8.145886,44.030907,26.015745,4.821337
49.965387,30.255012,8.624286,48.170218,26.120287,9.482800,45.676439,27.852904,9.399286,46.450815,25.608540,8.219788,43.803000,27.073632,5.606976
50.033434,30.130424,9.082948,48.010993,26.157740,9.543196,45.668346,27.842289,9.462709,46.659139,25.563740,8.255875,43.540579,26.679226,5.540597
50.768325,29.774603,10.196955,48.115177,26.071512,9.824162,45.654654,27.819839,9.535650,46.484755,25.413757,8.323919,43.248413,25.703763,5.737868
50.924064,28.815611,11.631698,48.071863,26.166595,9.923217,45.632060,27.715214,9.662458,46.501599,25.511315,8.535530,42.979410,24.409917,6.581646
51.271908,26.607045,12.682491,48.025871,25.722101,9.885492,45.599826,27.614258,9.815172,46.469443,25.419627,8.747173,43.091305,23.039199,7.753615
50.527656,24.727646,13.553758,48.035478,25.868746,9.969465,45.614720,27.575331,9.907130,46.393778,25.446765,8.715621,44.008587,21.766874,8.985756
49.524121,23.122348,13.387229,48.110541,25.953455,10.010764,45.627195,27.549169,9.991494,46.383028,25.316256,8.628878,45.232797,21.228040,10.486593
48.699601,22.286419,12.872611,48.045688,25.727629,9.960834,45.635592,27.510423,10.060073,46.507348,25.241800,8.818956,45.993618,21.153109,10.879324
48.578984,21.962838,12.550288,48.004309,25.592683,10.076867,45.618531,27.520010,10.141298,46.438440,25.113521,8.836365,46.363028,20.898540,11.234196
48.998595,22.365763,12.780066,48.044268,25.574184,10.246089,45.581080,27.492666,10.225121,46.390735,24.987487,8.760415,45.812799,21.146287,11.029704
49.861433,22.912378,13.409740,47.995103,25.473151,10.296785,45.593073,27.395332,10.333525,46.208961,24.947978,8.813181,44.787112,20.927125,9.796736
50.293531,24.224570,14.087867,48.024654,25.378029,10.473859,45.596470,27.336037,10.339136,46.368450,25.116435,8.928775,43.711255,21.388398,8.918673
50.250287,26.268787,14.225960,47.849571,25.442273,10.539367,45.585358,27.263647,10.380278,46.214940,25.018922,8.946292,42.843608,22.550196,7.885977
50.164180,28.030910,13.786977,47.886875,25.688372,10.609050,45.557306,27.254688,10.476625,46.201870,24.839313,8.988085,42.461803,24.397940,7.244255
48.379808,29.990700,11.924983,47.927661,25.596993,10.783170,45.535689,27.242446,10.558279,46.213640,24.931172,9.007277,42.795004,26.140276,7.274388
47.118647,30.129185,11.400228,47.818320,25.586488,10.760111,45.565602,27.198093,10.658727,46.277880,25.022226,9.156573,43.202338,27.959679,7.624846
47.092369,29.710828,11.324863,47.743152,25.386794,10.919341,45.596697,27.185931,10.762435,46.118658,25.083480,9.296467,43.855499,28.663847,8.163325
47.802891,29.768897,11.410644,47.682724,25.384777,11.173267,45.635932,27.130075,10.864984,46.338893,25.042456,9.196598,43.747446,28.370864,8.646429
49.112420,29.089574,11.839163,47.751629,25.453116,11.121037,45.630203,27.113890,10.953911,46.195357,25.095957,9.384668,43.125625,27.684424,8.326678
50.236611,28.359920,12.592574,47.829076,25.319254,11.177958,45.525071,27.042196,11.106029,46.290720,25.212643,9.356431,42.927487,26.395349,7.587001
51.198420,27.135910,13.490214,47.844628,25.258476,11.131477,45.448904,26.958499,11.219106,46.192873,25.008822,9.542086,42.962190,24.785106,7.086326
51.042671,24.920676,13.998369,47.822559,25.259479,11.232095,45.466472,26.865703,11.326616,46.348236,25.132387,9.456798,43.257204,22.753490,7.606021
50.393423,22.945335,14.173037,47.696997,25.257621,11.307645,45.443601,26.868275,11.395650,46.337377,24.878584,9.618133,43.986481,21.485856,8.775667
49.420060,21.496716,13.975606,47.745516,25.146144,11.193385,45.426936,26.845030,11.462760,46.351880,24.896709,9.700362,45.130413,20.525877,10.023499
48.264368,20.784513,13.257604,47.749788,24.928528,11.273207,45.410332,26.791030,11.549511,46.306811,24.783536,9.775277,45.423488,20.325525,10.890740
48.260524,20.621044,12.943893,47.700939,24.808168,11.485089,45.379547,26.750601,11.650928,46.369130,24.736763,9.952368,45.279053,20.517694,10.889812
48.972646,21.237587,13.818770,47.673315,24.935113,11.625239,45.374587,26.738261,11.744265,46.176505,24.690182,10.036164,44.299807,21.004825,10.089909
49.337093,22.083408,14.748242,47.733823,24.978160,11.736464,45.354293,26.630189,11.854681,46.119747,24.672518,10.025729,43.201005,21.637718,9.233689
