pt1_X,pt1_Y,pt1_Z,pt2_X,pt2_Y,pt2_Z,pt3_X,pt3_Y,pt3_Z,pt4_X,pt4_Y,pt4_Z,pt5_X,pt5_Y,pt5_Z
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
38.542222,44.062157,12.314132,39.972377,40.060881,10.265750,38.903350,37.595399,8.271901,41.036466,38.455368,10.898331,43.692299,37.492958,15.209497
38.404874,44.282200,12.268255,39.930846,40.072393,10.440272,38.800030,37.600465,8.235311,41.155636,38.605156,10.710583,43.291973,37.780073,15.481459
38.412001,43.944088,12.413951,39.988364,39.986190,10.470561,38.727690,37.581279,8.262341,40.935870,38.721131,10.846249,43.321416,37.802433,15.339550
38.248240,44.121081,12.384691,40.069772,39.881316,10.570939,38.683124,37.571322,8.279338,41.004858,38.695598,10.865519,43.216637,37.723240,15.284772
38.285164,43.960204,12.362306,39.858991,40.084479,10.453697,38.577011,37.558934,8.337241,40.925958,38.563284,10.939647,43.382701,37.818360,15.347799
38.221870,43.893336,12.099865,39.767503,39.967774,10.300556,38.538970,37.569168,8.373091,40.818831,38.551069,10.956294,43.316057,37.522157,15.183119
38.302776,44.170187,11.948233,39.902354,39.715979,10.218947,38.458003,37.550671,8.410050,40.663195,38.510043,10.821389,43.519150,37.236131,14.979291
38.189266,44.388474,11.754042,39.734419,40.188511,10.452371,38.425574,37.538253,8.421529,40.692611,38.417506,10.959892,43.769417,36.968417,15.061769
38.156204,44.497147,11.033406,39.784287,39.999336,10.135502,38.405815,37.532890,8.431499,40.653175,38.443968,10.962999,43.875538,36.631189,14.575891
38.297669,44.445548,10.465954,39.876212,39.973242,10.539175,38.380878,37.526232,8.447223,40.731344,38.438046,11.156960,44.268350,36.133169,13.925054
38.352303,44.456102,9.617583,39.934307,39.918767,10.306102,38.339651,37.541793,8.489593,40.612861,38.368613,11.172508,44.552582,35.809472,13.249752
38.458829,44.405100,8.836875,39.778456,39.782281,10.478933,38.242700,37.541577,8.580269,40.362610,38.455392,11.246207,44.871703,35.688350,12.296993
38.706758,44.196572,8.003816,39.531235,39.825106,10.360202,38.229598,37.380056,8.783977,40.490163,38.319933,11.213359,44.810704,35.447463,11.568220
38.704550,43.971921,7.573635,39.558662,39.935451,10.498405,38.105584,37.373172,8.856495,40.254029,38.338024,11.148013,44.684565,35.291297,10.619917
38.428899,43.677767,7.523679,39.470861,39.714009,10.405828,38.007264,37.401600,8.934766,40.222247,38.223694,11.101066,43.895442,34.715875,10.663614
37.821683,43.622724,7.921328,39.472827,39.933244,10.365527,37.922697,37.373594,8.970847,40.303671,38.169760,11.188574,43.735585,34.519072,10.947945
37.077909,44.149622,9.150861,39.124863,39.985350,10.313632,37.836610,37.362581,9.019478,40.178022,37.964675,11.273609,43.264812,34.537572,12.562160
35.928400,43.602936,11.152860,39.474847,39.933138,10.370024,37.745714,37.352911,9.068807,40.144494,38.210659,11.304200,42.380310,35.240298,14.581621
35.942739,42.772183,13.334567,39.550060,39.518632,10.416197,37.704400,37.339533,9.079818,40.046012,38.065315,11.222012,41.177353,35.631610,15.416717
36.428053,41.512465,14.513268,39.491479,39.920775,10.428615,37.671975,37.333607,9.092347,40.071580,38.051537,11.289706,39.853295,36.500690,16.084025
36.875410,40.924615,15.318787,39.378486,39.871290,10.373472,37.591928,37.315629,9.123613,40.058679,38.300089,11.379836,39.826067,37.129748,16.633327
37.064323,41.288169,15.098839,39.547349,40.001792,10.745513,37.558896,37.314338,9.135519,39.945877,38.341144,11.275136,40.320722,37.367657,16.574749
36.633642,42.708311,14.234050,39.572601,39.919352,10.857875,37.516146,37.305753,9.150314,40.030429,38.235961,11.447492,40.698109,37.115825,16.541649
35.523346,42.887490,13.120927,39.077060,39.995373,10.761448,37.421491,37.312665,9.217031,39.896417,38.225332,11.365187,41.209015,36.286798,16.345260
34.569252,42.934654,11.382857,38.999010,39.872565,10.695574,37.317780,37.308049,9.292182,40.038540,38.359145,11.399002,41.809646,34.810261,15.222281
