time(s),trig_fname18,10,11,12,13,14,15,16,17,18,trig_fname29,0.5 5.8_fname20,1.5 5.8_fname21,off off_fname22,0.5 30_fname25,0.5 55_fname27,0.5 15_fname28,0.5 off_fname29,trig_fname34,1_lpm_fname30,1.5_lpm_fname31,0.5_lpm_fname32,2_lpm_fname33,0lpm_fname34
15.1,0.032,0.0068186667,0.014768,0.0005493333,0.0005493333,0.007464,0.0071706667,0.004504,0.0100373333,0.00644,0.0304,-0.0129666667,-0.0225,0.0120933333,-0.0195466667,-0.0104533333,-0.0072066667,0.0006,0.032,0.022752,0.01986,-0.00014,0.00008,0.0256533333
15.12,0.0328,0.0066826667,0.0148,0.0005973333,0.0005973333,0.007584,0.0071066667,0.004392,0.0100213333,0.006328,0.032,-0.0131466667,-0.02254,0.0120533333,-0.0197066667,-0.0104733333,-0.0073266667,0.00042,0.032,0.022708,0.019796,-0.000136,0.000072,0.0257333333
15.14,0.0328,0.0066826667,0.015168,0.0004293333,0.0004293333,0.007424,0.0070666667,0.004376,0.0101333333,0.00612,0.032,-0.0133666667,-0.02258,0.0120533333,-0.0198466667,-0.0104933333,-0.0074266667,0.0003,0.032,0.022636,0.019744,-0.000128,0.00008,0.0258133333
15.16,0.032,0.0065226667,0.015352,0.0002453333,0.0002453333,0.007312,0.0072346667,0.004224,0.0101093333,0.006144,0.032,-0.0135266667,-0.02266,0.0120333333,-0.0199266667,-0.0105333333,-0.0075466667,0.00016,0.032,0.022628,0.019688,-0.000132,0.000072,0.0259133333
15.18,0.032,0.0066506667,0.01548,0.0002693333,0.0002693333,0.007176,0.0071866667,0.004224,0.0101413333,0.00608,0.032,-0.0136466667,-0.02272,0.0120333333,-0.0200866667,-0.0105533333,-0.0076466667,-0.00002,0.032,0.022592,0.019596,-0.00014,0.000084,0.0259733333
15.2,0.032,0.0064666667,0.015568,0.0003653333,0.0003653333,0.00704,0.0071466667,0.00432,0.0102133333,0.005952,0.032,-0.0138666667,-0.02284,0.0120133333,-0.0202666667,-0.0105933333,-0.0077466667,-0.00024,0.032,0.022564,0.019572,-0.000128,0.000088,0.0260333333
15.22,0.032,0.0063306667,0.015616,0.0003653333,0.0003653333,0.006888,0.0070106667,0.004392,0.0100773333,0.005832,0.0312,-0.0140266667,-0.0229,0.0119733333,-0.0204266667,-0.0106133333,-0.0078866667,-0.0004,0.032,0.022512,0.019496,-0.000124,0.000104,0.0260933333
15.24,0.032,0.0063946667,0.015808,0.0003813333,0.0003813333,0.0068,0.0069706667,0.004376,0.0100293333,0.005864,0.032,-0.0142866667,-0.02296,0.0119533333,-0.0205266667,-0.0106733333,-0.0079666667,-0.00058,0.0312,0.022452,0.01944,-0.000112,0.000108,0.0262333333
15.26,0.032,0.0062826667,0.016168,0.0004613333,0.0004613333,0.006584,0.0068186667,0.004336,0.0099653333,0.0058,0.032,-0.0145066667,-0.02302,0.0119533333,-0.0207066667,-0.0107333333,-0.0080866667,-0.00076,0.032,0.022384,0.01942,-0.00012,0.000124,0.0263733333
15.28,0.032,0.0063866667,0.016424,0.0006293333,0.0006293333,0.006576,0.0068826667,0.004432,0.0099893333,0.005728,0.032,-0.0146666667,-0.0231,0.0119533333,-0.0208666667,-0.0107733333,-0.0082466667,-0.00094,0.032,0.022312,0.01936,-0.00012,0.00012,0.0264933333
15.3,0.032,0.0063226667,0.016552,0.0007173333,0.0007173333,0.006504,0.0068666667,0.004224,0.0099573333,0.005704,0.032,-0.0148266667,-0.02316,0.0119333333,-0.0210266667,-0.0108133333,-0.0083666667,-0.00118,0.0312,0.022332,0.019324,-0.00012,0.000128,0.0266333333
15.32,0.0312,0.0063706667,0.016632,0.0008453333,0.0008453333,0.006464,0.0068506667,0.0042,0.0098773333,0.005504,0.032,-0.0150666667,-0.0232,0.0118733333,-0.0211466667,-0.0108533333,-0.0084866667,-0.00134,0.032,0.022288,0.01928,-0.000116,0.000128,0.0267133333
